index,value
University of Côte d'Azur University,3
CNRS-Université Côte d'Azur-Sorbonne Université,3
Université Côe d'Azur,3
Universite Cote dAzur,3
Université Côte d'Azur LEAT,3
Universit'e Cote D'Azur,3
Université: Côte d'Azur,3
Universite Cote d'Azur Faculte de Medecine,3
UniversitCrossed D Sign© Côte d'Azur,3
Université Côte D’Azur. CHU Nice,3
Universitá Côte d'Azur,3
Côte d'Azur University (VGA),3
SKEMA Business School-Université Côte d'Azur,3
University Côte d’Azur (UCA),3
université Côte d'Azur (UCA),3
Inria - Université Côte d’Azur,3
France Université Cote d'Azur,3
Université Coted'Azur CNRS,2
I3S Université Côte d’Azur,2
Université Nice Cǒte d'Azur,2
Université d’Azur,2
UMR 7272 CNRS-Université Côte d’Azur,2
Université de La Côte d'Azur,2
université de la Côte d'Azur (UCA),2
Université Cîte D'Azur,2
Université Côte d'Azur and CNRS UMR 7351,2
Universite' Côte d'Azur,2
Universite Co Te d'Azur,2
Université Cote d′Azur,2
University Cote D Azur,2
Université Ĉote d'Azur,2
University of Nice Côte d’Azur,2
Université Côte d’Azur Institut de Biologie Valrose CNRS UMR 7277 Inserm UMR 1091,2
Université Côte d'Azur Cnrs,2
University Côte d′Azur,2
UMR 7300 CNRS-Univ. Aix-Marseille- Univ.Avignon- Univ.Côte d'Azur,2
CNRS University Cote d'Azur laboratory Institut Biology Valrose,2
Université Côte d'Azur OCA,2
University Côte d'Azur Valrose Park,2
Côte d'Azur University - SRM - GREDEG - CNRS,2
University of Nice and Côte d'Azur (UCA),2
Université Cote d'Azur and CNRS,2
Universite Cote D Azur CNRS,2
SKEMA Business School – Université Côte d’Azur,2
University Côte d'Azur-CNRS-IRD-OCA,2
Universite de la Côte d'Azur (OCA-CNRS) and 77,2
Université Coôte d'Azur,2
URMIS - University Nice Côte d'Azur,2
Université Côte d'Azur Tunis,2
Univ Côte d’Azur,2
CHU Nice University Côte d'Azur,2
Univ. Côte d'Azur and CEA,2
IBV Universite Cote d'Azur,2
membre d’Université Côte d’Azur,2
Universitá Nice Côte d'Azur,2
SKEMA Business School Universite Cote d’Azur,2
Institut de Physique de Nice Université Côte D 'Azur,2
Université Côte d’Azur & CNRS,2
Université Côte d’Azur – Laboratoire Motricité humaine,2
1Université Côte d'Azur,2
University Côte DAzur,2
University of Cote Azur,2
GREDEG-CNRS and University Côte d'Azur,2
Univesité Côte d’Azur,2
University Côte d'Azur - CNRS - IRD - OCA,2
Université Côte d'Azur – INRA – CNRS,2
University Cote d'Azur - CNRS - IRD - OCA,2
University Cote Azur,2
INRIA/Université CôTe d’Azur,2
INRIA et Université Côte d'Azur,2
Univ. Cote DAzur,2
GREDEG - UMR CNRS 7321 and Université Côte d'Azur,2
University Côte d’Azur - CNRS,2
Université de la Cote d’Azur,2
Association IA Université Côte d'Azur,2
Clinical Research Unit of University of Côte d’Azur,2
Universitey Côte d’Azur,2
UMR 6097 Université Côte d'Azur,2
University Côte d’Azur (IRCAN),2
IA CHU Université Côte d'Azur,2
Université Côte d'Azur et BCL,2
Université Nice CÔte d'Azur,2
Université Côte-d'Azur CEPAM,2
CHU Université Côte d'Azur,2
Université de la Côte d’Azur (OCA-CNRS),2
University Cote DAzur Association Ia,2
Université Côte d'Azur (UCA) CNRS,2
France Université de la Côte d’Azur,2
(INSERM) U1065 Université Côte d'Azur,2
Centre National de la Recherche Scientifique (CNRS) and Université Côte d’Azur,2
Universite Cĉ Te d'Azur,2
Univ. Nice Côte d’Azur,2
Universite Nice Côte d’Azur,2
University Cote d’Azur (GREDEG),2
Université Côte d’Azur – CEPAM (UMR 7264),2
Université Cote D'Azurh,2
Côte d'Azur University and University Nice Sophia Antipolis,2
University of Côte d'Azur - Geoazur,2
INRA Jouy-en-Josas and Université Côte d'Azur,2
University Côte d'Azur - Cnrs - Ird - Oca,2
Universit Côte d’Azur,2
université de Nice Côte d’Azur,2
Université Côte d’Azur-CNRS,2
University Côte d'Azur (GREDEG),2
Université Côte d’Azur – GREDEG – CNRS,2
CNRS – Université Côte d'Azur,2
Université Nice Sophia Antipolis (Université Côte d'Azur,2
University Nice Côte D'Azur,2
Université Côte d'Azur-CNRS-Inria-I3S 2004,2
Université Côte d'Azur I3S,2
université de la Côte-d'Azur,2
Université COte d'Azur,2
Univérsity Côte d'Azur,2
Université Nice Côte d'Azur and CEPAM,2
Universite Cote d'Azur Faculte des Sciences,2
SKEMA Business School –Université Côte d'Azur,2
Universit C te d'Azur,2
France and Université Côte D'Azur,2
Université University Côte d’Azur,2
Université Cote d'Azur CNRS/I3S/INRIA,2
Nice Cote d’Azur University,2
INSERM U1081 - CNRS UMR 7284 Université Côte d'Azur,2
Inria/Université Côte d'Azur,2
Universite Cote d'Azur/oca/cnrs,2
Universit\'e C\^ote d'Azur,2
CNRS Université Côte d’Azur,2
Universitié Côte d'Azur,2
University Co te d'Azur,2
Universite' Cote d'Azur,2
CNRS–Université Côte d’Azur,2
CHU of Nice and University Côte d'Azur Nice,2
Université Côte d́Azur,2
Universite de la Cote d’Azur,2
Universite Cote-d'Azur,2
University of the Côte d’Azur,2
Côte Azur University,2
Université Côote d'Azur,2
Membre de l’Université Côte d’Azur,2
UNIVERSITÉ CÔTE-d'Azur,2
Université Côte d 'Azur and CNRS,2
Université Côte d' Azur (MAUCA),2
Univcrsié Côte d' Azur,2
Université Côte d'Azur–SKEMA Business School,2
Nice Côte D’Azur University,2
Université Côte d'Azur France,2
Université Côte dʼAzur,2
UCA-Université de la Côte d'Azur,2
Laboratoire International Associé Université Côte d’Azur,2
Universite Nice Cote d'Azur,2
RETINES Lab - Côte d'Azur University,2
Université de la Côte d’Azur (UCA),2
Côte d'Azur University (UCA),2
RETINES Lab - Cote-d'Azur University,2
Now at Universite Cote d'Azur,2
The Université Côte d'Azur and INRIA,2
Universite Côte d'Azur et CNRS,2
University of Cote D’Azur,2
Federation Claude Lalanne-Universite Côte d'Azur,2
Université Côte d''Azur,2
UMR7284 U1081 Université Côte d’Azur,2
Universite Cote d'Azur (UCA),2
CHU Nice - Côte Azur Université,2
UniversitÃ© CÃ´te d’Azur,2
Université Côte d'Azur (Université Nice Sophia Antipolis),2
Institute 3IA Côte d'Azur,2
Universite Côte D’Azur,2
University Nice Cote d’Azur,2
Université Côte d’Azur - Géoazur,2
Inria - Université Côte d'Azur,2
Université Côte d’Azur Institut de Physique de Nice,2
Universit Côte D’Azur and 3IA Côte D’Azur,2
Faculty of Dentistry - Côte d'Azur University,2
Institute 3IA Côte d’Azur,2
The Université Côte d'Azur,2
Universit'e Côte D'Azur,2
Université Côté Azure (UCA),2
Université Cote d'Azur - INRIA,2
Univesité Côte d'Azur,2
Centre Inria d’Université Côte d’Azur,2
INRIA Université Nice Côte d′Azur,2
GREDEG-CNRS Université Côte d'Azur,2
Inria/Université Côte d’Azur Sophia Antipolis,2
AI Institute 3IA Côte d’Azur,2
Université Co te d'Azur,2
Université de Côte d‘Azur,2
Université Côte d’Azur Inria,2
Maasai Université Côte d'Azur,2
Université Côte d’Azur and INRIA,2
université Côte-d’Azur,2
CNRS UMR7284 INSERM U1081 Université Côte d’Azur,2
Laboratoire International Associé Université Côte d’Azur—Centre Scientifique de Monaco,2
Antoine Lacassagne Cancer Center – University of Côte d'Azur,2
Côte d'Azur University CNRS,2
Universite Côte dAzur,2
CNRS/Université Côte d'Azur,2
University Hospital Center of Nice and Côte d’Azur University,2
CNRS and Université Côte d’Azur,2
University of Côte d’Azur UCA,2
University of Cte d'Azur,2
University of Cote d'Azure,2
Université Nice 06108 -Sophia Antipolis-Université Côte d'Azur,2
Université Nice-Cote d'Azur,2
University Côte d'Azur and Inria,2
Inria and Université Cote d'Azur,2
Université Côte d’Azur - I3S - CNRS,2
Nice-Côte d'Azur University,2
China; CNRS/INSERM/University Côte d'Azur,2
Université Côtete d'Azur,2
C&#x00F4;te d&#x0027;Azur University,2
Universitï¿½ Cï¿½te d'Azur,1
Université Côte d’Azur - Centre de Recherches en Histoire des Idées,1
Université Nice Côte d'Azur (UCA),1
Université Côte d'Azur – SKEMA Business School,1
Nice cedex 1; Université Côte d'Azur,1
Université Côte d'Azur - GREDEG CNRS - SKEMA Business School,1
Université Côte d’Azur UMR 7351 CNRS,1
Universite de Cote D Azur,1
I3S (University C&#x00F4;te d&#x0027;Azur,1
URMIS – Université Côte d’Azur,1
Université Côte d'Azur LEAT CNRS,1
Universite C^ote d'Azur,1
I3S University Cote d'Azur CNRS Sophia Antipolis,1
Universite Cote d’Azur (GREDEG),1
UMR INRAE-CNRS-Université Côte d'Azur Sophia Agrobiotech Institute,1
University Côte d'Azur (UR2CA),1
Université Côte d’Azur Département de Santé Publique,1
Universit Côte d'Azur/I3S/CNRS,1
University Côte d’Azur (GREDEG),1
Université Cte dAzur,1
Shanghai Jiaotong University and Côte-d’Azur University,1
Centre Antoine Lacassagne University Côte d’Azur,1
Principauté de Monaco - Université Côte d'Azur,1
CHU de Nice and Université Côte d'Azur,1
SKEMA Business School Universite Cote d'Azur,1
CoBTeK Lab of the Université Cote d'Azur,1
URMIS-Université Côte d’Azur,1
University Cote d'Azur and Institut Universitaire de France,1
CoBTeK “Cognition Behaviour Technology” – Université Côte d’Azur,1
University Cote d'Azur - CNRS,1
GREDEG-CNRS & University Côte d’Azur,1
Université Côté d Azur,1
Université Côte d'Azur and Centre National pour la Recherche Scientifique (CNRS),1
The University of Côte d’Azur (Nice),1
Université Côte d'Azur (GREDEG-CNRS),1
Université Côte d’Azur CNRS-GREDEG,1
Langage-UMR 7320 Université Côte d'Azur,1
Universite de Nice Côte d'Azur,1
Université Côte D’Azur (UCA),1
Université Côte Da' Azur,1
Université Côte ĎAzur,1
Virulence Microbienne et Signalisation Inflammatoire - Universite de la Cote d'Azur,1
Inria Sophia Antipolis - Université Côte d’Azur,1
UMR 7010 CNRS-Université Côte d’Azur,1
University of Cote d'Azur-CNRS,1
Université de Paris and Université Côté d’Azur,1
Univ. Côte d'Azur and Obs. Côte d'Azur,1
Université Cte DAzur,1
Université Côte d’Azur I3S,1
Université Côte d’Azur GREDEG,1
UniversitCrossed D Sign© de la Cote d'Azur,1
Universitè Cote d'Azur,1
Université Côte d’Azur and I3S,1
Université Côte d’Azur (UCA,1
Université Côte d’Azur Parc Valrose,1
Cost of Azur University,1
Universite Cote d Azur,1
GEOAZUR-Universite Cote d'Azur,1
Université Côte d'Azur (GREDEG); CMCC Ca’ Foscari,1
SKEMA Business School Universite Cote Azure (GREDEG),1
Universitç© Cç´te d'Azur,1
Université Côte d’Azur BP 4229,1
Université Côte d’Azur–Skema Business School,1
University of óte d'Azur,1
Université Côte d′ Azur,1
Cote d'Azur University Sophia,1
Université CAte d'Azur,1
Skema Business School and Université Côte d'Azur (GREDEG),1
Côte d'Azur University & ELMI -Graduate School of Economics and Management,1
Retired from Université Côte d'Azur,1
‘Université Côte d’Azur’,1
Master of Astrophysics - Université Côte d'Azur (MAUCA),1
Université Cotê d'Azur,1
Université Côte d’Azur Pôle universitaire Saint-Jean-d’Angély,1
Université de la Côte d’ Azur,1
UniversitéCo Te d'Azur,1
CCMA-Université Côte d’Azur,1
CNRS-University of Côte d'Azur,1
Universite Cote d'Azur. Cnrs,1
Géoazur-Université Côte d'Azur,1
Université “Côte d’Azur”,1
Université Côte d’Azur Laboratoire J.A. Dieudonné,1
Laboratoire de Mathématiques J. A. Dieudonné Université Côte d’Azur,1
UCA (Université Côte d'Azur),1
Université Côte d'Azur LAPCOS,1
University Côted'Azur,1
Université Côte d'Azur & Inria Sophia-Antipolis Méditerranée,1
Universite de Côte d'Azur,1
Université Côte d'Azur (ERMES/URMIS),1
Universite&acute; Co&circ;te d'Azur,1
Université Côte d’Azur SKEMA France,1
Universite C ote D Azur,1
Université Côte d'Azur – CNRS,1
Université Côte d’Azur’,1
Université Cote D’Azur,1
Biovision Team and Université Cote-d'Azur,1
I3S Laboratory University of Côte d'Azur,1
UniversitéCobte d’Azur,1
Universit e Côte d'Azur,1
University of la Côte D'Azur (UCA),1
Université Côte d’Azur G.R.E.D.E.G. – U.M.R. C.N.R.S. 7321,1
University of Nice Côte-d'Azur,1
I3S (University Cote d'Azur,1
The Netherlands & Université Côte d'Azur,1
Université Côte d’Azur/I3S/CNRS,1
Dumitrescu Université Côte d’Azur,1
Pauly Université Côte d’Azur,1
UR2CA Unité de Recherche Clinique Université Côte d'Azur,1
LINE Research Lab (LINE). Université Cote d'Azur,1
Nice University Côte d'Azur,1
University Cote d'Azur CNRS,1
SKEMA Business School Université Côte d'Azur (GREDEG),1
Université Cote d'Azur (UCA),1
RETINES Lab - Cote d'Azur University,1
Universit Ćte D'Azur,1
Tunisie et Université Côte d'Azur,1
COBTEK lab Université Côte d'Azur,1
Université Céte d’Azur,1
Universié Côte d'Azur,1
Université Côte d'Azur - Gredeg,1
AI Institute 3IA Côte d'Azur,1
Université Cote Azur (GREDEG),1
Université Côte d'Azur – SKEMA,1
Univ.Côte d’Azur,1
University Côté d'Azur,1
CoBTeK Lab University Côte d'Azur,1
Universite Côte d’Azur–Centre National de la Recherche Scientifique,1
CNRS/LEAT Université Cote d'Azur,1
Université Côte d’Azur-INRAE-CNRS-INSERM,1
Université Côte d'Azur Skema,1
Universite Cote d'Azure,1
Université Côte dʹAzur,1
Université Côte d’Azur Centre national de la recherche scientifique Laboratoire J.A. Dieudonné,1
Now at Université Côte d'’Azur,1
GREDEG - CNRS - University Côte d'Azur,1
SKEMA Business School–Université Côte d'Azur,1
Université Nice – Côte d'Azur,1
Univ. Côote d'Azur,1
Universitè Côte D’Azur,1
University of the Cote d'Azur,1
Unité de Recherche Clinique Côte d'Azur,1
Université Côte d'Azur. Cnrs,1
Université Côte d'Azur/I3S/CNRS/Inria,1
IMREDD-Université Cote d’Azur,1
université Côte d'Azur),1
Université Côte d'Azur And Adobe Research,1
SKEMA Business School and Université Côte D’Azur,1
SKEMA Business School and Université Côte d’Azur,1
université Nice Cote-d'Azur,1
Université Côte d'Azur and Nice University Hospital,1
FHU OncoAge Université Côte d'Azur,1
Université Côte d’Azur-Institut national,1
Université Côte d'Azur-,1
Université Côte d'Azur-CMMC,1
SKEMA Business School - Universite’ de la Cote-d’Azur,1
SKEMA Business School—Universite’ de la Cote-d’Azur,1
Université de la Côte-d’Azur,1
University Hospital of Nice (CHU de Nice)/Université Côte d’Azur,1
University Côte-d'Azur,1
Nice-Université Côte d’Azur,1
SKEMA Business School – University Cote d'Azur,1
INRIA and Université Côte d’Azur,1
Laboratoire SIC.Lab de l’Université Côte d’Azur,1
L'Université Côte d'Azur,1
Université Côte d' Azur Inria,1
CHU Nice Côte Azur université,1
Côte Azur Université,1
SKEMA Business School and Universitè Côte d'Azur,1
université Côté d'Azur,1
Côte d’Azur University. Department of Dermatology,1
Univ. Côte d'Azur (UCA),1
Université Côte d’Azur Service de Réanimation Polyvalente,1
University of the Cote d’Azur Nice-Sophia Antipolis,1
University of Cote d’Azur Medical Center,1
Pain Côte Azur University,1
Ekinops and Inria and Université Côte d'Azur,1
SKEMA Business School -- Université Côte d'Azur,1
Université Côte d'Azur (U. Nice,1
SKEMA Business School and Université Cote d'Azur,1
Inria at Université Côte d'Azur,1
Inria & Université Côte Azur,1
Université Côte d’Azur - CMMC,1
Centre Inria d'Université Côte d'Azur,1
CHU Nice - Université Côte d'Azur,1
Universit C te D Azur,1
CHU de Nice et université Côte d'Azur,1
Université C ôte d’Azur,1
Centre Antoine Lacassagne and Côte d’Azur University,1
Orange Innovation & University Cote d'Azur,1
IdPD - Université Côte d'Azur,1
Inria Centre at Université Côte d'Azur,1
L'université de Nice Sophia-Antipolis-Université Côte D'Azur,1
University of Teacher Education of the State of Vaud and Université Côte d’Azur,1
University Côte d'Azur Nice,1
Université Côte d’Azur – Campus,1
l’Université Côte-d’Azur,1
University of Nice – Côte d'Azur,1
FHU OncoAge Côte d'Azur University,1
CHU of Nice and University Côte d'Azur,1
Université Côté Azur and Inria Sophia Antipolis Méditerranée,1
University of Nice Sophia-Antipolis – University of Côte d’Azur,1
Skema Business School/Université Côte d'Azur,1
Italy and SKEMA Business School Université Côte d'Azur (CREDEG),1
CHU of Nice and University Côte d’Azur,1
Université Cote d'Azur - Sophia Antipolis,1
Centre Inria at Université Côte d’Azur,1
Inria Sophia Antipolis - Mediterranée and Université Côte d'Azur,1
University Ĉote d'Azur,1
The University Côte d'Azur,1
membre de l’Université Côte d’Azur,1
Université Laval and Université Côte d'Azur,1
CHU Nice – Côte Azur Université,1
Université Côte d'Azur Nice,1
Pain Department CHU Nice and FHU InovPain Côte Azur University,1
France University of Côte d'Azur,1
Université Nice Côté d’Azur,1
université Nice Côté d'Azur,1
Côte d'Azur university,1
université de la Côte d'Azur,1
