aff_internal_id,aff_scopus_id,dc:identifiers
5,60006380,SCOPUS_ID:85080845449
5,60006380,SCOPUS_ID:85079896438
5,60006380,SCOPUS_ID:85084253712
5,60006380,SCOPUS_ID:85096175381
5,60006380,SCOPUS_ID:85081042903
5,60006380,SCOPUS_ID:85081041509
5,60006380,SCOPUS_ID:85079876896
5,60006380,SCOPUS_ID:85078235380
5,60006380,SCOPUS_ID:85075745111
5,60006380,SCOPUS_ID:85074769058
5,60006380,SCOPUS_ID:85077777239
5,60006380,SCOPUS_ID:85077987777
5,60006380,SCOPUS_ID:85094874063
5,60006380,SCOPUS_ID:85092753710
5,60006380,SCOPUS_ID:85087122180
5,60006380,SCOPUS_ID:85082380975
5,60006380,SCOPUS_ID:85082147424
5,60006380,SCOPUS_ID:85081070398
5,60006380,SCOPUS_ID:85079688212
5,60006380,SCOPUS_ID:85077519814
5,60006380,SCOPUS_ID:85073946616
5,60006380,SCOPUS_ID:85076357461
5,60006380,SCOPUS_ID:85076012882
5,60006380,SCOPUS_ID:85086177376
5,60006380,SCOPUS_ID:85077480498
5,60006380,SCOPUS_ID:85076563600
5,60006380,SCOPUS_ID:85075363044
5,60006380,SCOPUS_ID:85074855137
5,60006380,SCOPUS_ID:85074577969
5,60006380,SCOPUS_ID:85071993399
5,60006380,SCOPUS_ID:85071759148
5,60006380,SCOPUS_ID:85071647979
5,60006380,SCOPUS_ID:85068460423
5,60006380,SCOPUS_ID:85067810038
5,60006380,SCOPUS_ID:85065183745
5,60006380,SCOPUS_ID:85061590887
5,60006380,SCOPUS_ID:85060515337
5,60006380,SCOPUS_ID:85070675570
5,60006380,SCOPUS_ID:85070793010
5,60006380,SCOPUS_ID:85076051651
5,60006380,SCOPUS_ID:85074764860
5,60006380,SCOPUS_ID:85069557179
5,60006380,SCOPUS_ID:85074118422
5,60006380,SCOPUS_ID:85073175294
5,60006380,SCOPUS_ID:85073157928
5,60006380,SCOPUS_ID:85072748022
5,60006380,SCOPUS_ID:85072539793
5,60006380,SCOPUS_ID:85073697562
5,60006380,SCOPUS_ID:85073511636
5,60006380,SCOPUS_ID:85072603988
5,60006380,SCOPUS_ID:85070723055
5,60006380,SCOPUS_ID:85072151798
5,60006380,SCOPUS_ID:85075617064
5,60006380,SCOPUS_ID:85061359008
5,60006380,SCOPUS_ID:85071080688
5,60006380,SCOPUS_ID:85071350063
5,60006380,SCOPUS_ID:85075375469
5,60006380,SCOPUS_ID:85071479247
5,60006380,SCOPUS_ID:85065964429
5,60006380,SCOPUS_ID:85064076317
5,60006380,SCOPUS_ID:85054824662
5,60006380,SCOPUS_ID:85091991230
5,60006380,SCOPUS_ID:85065305409
5,60006380,SCOPUS_ID:85064255638
5,60006380,SCOPUS_ID:85063946704
5,60006380,SCOPUS_ID:85060792827
5,60006380,SCOPUS_ID:85064356672
5,60006380,SCOPUS_ID:85062966977
5,60006380,SCOPUS_ID:85066259299
5,60006380,SCOPUS_ID:85065729453
5,60006380,SCOPUS_ID:85068801456
5,60006380,SCOPUS_ID:85064198884
5,60006380,SCOPUS_ID:85065682444
5,60006380,SCOPUS_ID:85063485695
5,60006380,SCOPUS_ID:85063809319
5,60006380,SCOPUS_ID:85060990195
5,60006380,SCOPUS_ID:85060330824
5,60006380,SCOPUS_ID:85064278409
5,60006380,SCOPUS_ID:85064926650
5,60006380,SCOPUS_ID:85062707203
5,60006380,SCOPUS_ID:85060346267
5,60006380,SCOPUS_ID:85055672516
5,60006380,SCOPUS_ID:85061359773
5,60006380,SCOPUS_ID:85060354326
5,60006380,SCOPUS_ID:85053182889
5,60006380,SCOPUS_ID:85061162610
5,60006380,SCOPUS_ID:85063578098
5,60006380,SCOPUS_ID:85060645573
5,60006380,SCOPUS_ID:85054599865
5,60006380,SCOPUS_ID:85052281442
5,60006380,SCOPUS_ID:85059826433
5,60006380,SCOPUS_ID:85055585213
5,60006380,SCOPUS_ID:85059927754
5,60006380,SCOPUS_ID:85147609599
5,60006380,SCOPUS_ID:85084015356
5,60006380,SCOPUS_ID:85077995395
5,60006380,SCOPUS_ID:85074944730
5,60006380,SCOPUS_ID:85073578352
5,60006380,SCOPUS_ID:85073469061
5,60006380,SCOPUS_ID:85068444323
5,60006380,SCOPUS_ID:85068418507
5,60006380,SCOPUS_ID:85067399365
5,60006380,SCOPUS_ID:85067378237
5,60006380,SCOPUS_ID:85065490942
5,60006380,SCOPUS_ID:85065489830
5,60006380,SCOPUS_ID:85065481094
5,60006380,SCOPUS_ID:85064482178
5,60006380,SCOPUS_ID:85064239481
5,60006380,SCOPUS_ID:85063111227
5,60006380,SCOPUS_ID:85062765282
5,60006380,SCOPUS_ID:85061980755
5,60006380,SCOPUS_ID:85061065246
5,60006380,SCOPUS_ID:85060126168
5,60006380,SCOPUS_ID:85057080461
5,60006380,SCOPUS_ID:85053873974
